F1 (to 1101), 6.82 MVA,F2 (to 1104), 6.82 MVA,F3 (to 1107), 6.82 MVA,F4 (to 1110), 6.82 MVA,F5 (to 1115), 8.86 MVA,F6 (to 1126), 8.86 MVA,F7 (to 1137), 8.86 MVA,F8 (to 1151), 8.86 MVA
8.090658605916537738e+00,5.229876989389992126e-01,5.346168580594387265e+00,1.516371953825271035e+01,2.449016564708160359e+01,2.943359974415143299e+01,3.281832345817529273e+01,4.484893168629393045e+01
8.277223626272629531e+00,1.089238221775288507e+00,5.467988193098713090e+00,1.551588492807575115e+01,2.505588280297814663e+01,3.011010016536769029e+01,3.314074025971041948e+01,4.588730060322537696e+01
8.412777015049361040e+00,1.676725815983350687e+00,5.556441441297402584e+00,1.577221986800403108e+01,2.546724511889391351e+01,3.060181334877630732e+01,3.323616898335463077e+01,4.664192381791366415e+01
8.494945258951847933e+00,2.275386255432375826e+00,5.610021651423882538e+00,1.592818622590178990e+01,2.571702643001039235e+01,3.090019669235486788e+01,3.310289239981983656e+01,4.709946818993839912e+01
8.522304230138503911e+00,2.874968486867483186e+00,5.627829112954389146e+00,1.598103219321493285e+01,2.580086237445839359e+01,3.100009432106346452e+01,3.274326925588039217e+01,4.725192591543063969e+01
8.494386481665937794e+00,3.465223142036560677e+00,5.609572677883028824e+00,1.592981307703244909e+01,2.571727770658510792e+01,3.089976433496751795e+01,3.216360641659416331e+01,4.709666160670914792e+01
8.411709500926304983e+00,4.036064355271061999e+00,5.555586628050272147e+00,1.577545061049436192e+01,2.546777772854937893e+01,3.060098733015800931e+01,3.137413762113132876e+01,4.663657205685475304e+01
8.275741765288504581e+00,4.577756156201687077e+00,5.466808583724474424e+00,1.552067396979859559e+01,2.505675127046591300e+01,3.010895356485260876e+01,3.038872628587345659e+01,4.587989529235776587e+01
8.088889798259186747e+00,5.081065780251461383e+00,5.344773236254777515e+00,1.516999747511173879e+01,2.449143777784499676e+01,2.943223087666390470e+01,2.922468132035512411e+01,4.484013382104095058e+01
7.854437854395836638e+00,5.537428604751555739e+00,5.191575956714625129e+00,1.472960814369511517e+01,2.378174727455705550e+01,2.858255857164175140e+01,2.790236682748040309e+01,4.353570767090960203e+01
7.578296342726941859e+00,5.938624057591148642e+00,5.009991295780952036e+00,1.421120231449124560e+01,2.294560931565408168e+01,2.757815876897932839e+01,2.645100309016456563e+01,4.200238220017875079e+01
7.261560500297376208e+00,6.278725049359851873e+00,4.802819968854386445e+00,1.361573264812441941e+01,2.198624954177815738e+01,2.642920886165107675e+01,2.488299478939284981e+01,4.024077310172245348e+01
6.911689143352015563e+00,6.551524645560133919e+00,4.573765904777065572e+00,1.295787681366478772e+01,2.092630035903260932e+01,2.515934021321199054e+01,2.323234685902431096e+01,3.829548006137896721e+01
6.534743712730135101e+00,6.752395257116488025e+00,4.326739007441463336e+00,1.224909069354878177e+01,1.978414263859434286e+01,2.379044191604684855e+01,2.152754277051460008e+01,3.620038013988228442e+01
6.137237821654440317e+00,6.877924157389106341e+00,4.065959453267790735e+00,1.150167461773833999e+01,1.857953529410741211e+01,2.234608691676787018e+01,1.979790894234194454e+01,3.399182845898726413e+01
5.726020391987966640e+00,6.925971319621008426e+00,3.795885217208673890e+00,1.072854781842230665e+01,1.733325811295267727e+01,2.085111044445196526e+01,1.807309367231237829e+01,3.170799511741912369e+01
5.308148182479302868e+00,6.895710273607537744e+00,3.521131329521602460e+00,9.943004312367738962e+00,1.606672213582556452e+01,1.933114818593736928e+01,1.638252124665844889e+01,2.938814694119916737e+01
4.890771851478331378e+00,6.787637730574825667e+00,3.246396405277835129e+00,9.158496253516155150e+00,1.480162165344201597e+01,1.781222168111778714e+01,1.475493091797913259e+01,2.707200849597153081e+01
4.481011742212954729e+00,6.603568091312639332e+00,2.976380748766854545e+00,8.388400362510907371e+00,1.355955611368803737e+01,1.632028472989965096e+01,1.321788964551073953e+01,2.479907031715559640e+01
4.085835193004324850e+00,6.346607023510969725e+00,2.715703886825847846e+00,7.645789365188342401e+00,1.236165766254232956e+01,1.488077400173469478e+01,1.179733025900745247e+01,2.260791027859526636e+01
3.711947130456147548e+00,6.021097276293198242e+00,2.468829488319240539e+00,6.943230236736257055e+00,1.122825992005818030e+01,1.351820663658204502e+01,1.051716670308080381e+01,2.053559291058545000e+01
3.365670156517460043e+00,5.632554433120326998e+00,2.239982300361306411e+00,6.292563830079667575e+00,1.017853551676712343e+01,1.225573831040120965e+01,9.398873123077219560e+00,1.861701447489511096e+01
3.052837734239248757e+00,5.187578960769378966e+00,2.033072987346070892e+00,5.704709659954777301e+00,9.230173635911080865e+00,1.111476734530888955e+01,8.461132016895021479e+00,1.688432373053437630e+01
2.778717860323225874e+00,4.693735209487252646e+00,1.851642832384803539e+00,5.189527552382487308e+00,8.399149731188201073e+00,1.011464844014350639e+01,7.719628209213420078e+00,1.536651388458004774e+01
2.548102311148343624e+00,4.159279538310554969e+00,1.698802518235536407e+00,4.756045977489523402e+00,7.700014429639821856e+00,9.272671924627001516e+00,7.187189506043532461e+00,1.409023374841966358e+01
2.364425627249946427e+00,3.593695144418354026e+00,1.577123672383045960e+00,4.410577168067467468e+00,7.143146942070334404e+00,8.602237555908288869e+00,6.871622101793778192e+00,1.307368258117422322e+01
2.230987157087853667e+00,3.006448461808420181e+00,1.488694737397283863e+00,4.159376075195830857e+00,6.738580669596586858e+00,8.115110908441499404e+00,6.778732245153856084e+00,1.233532289139105487e+01
2.150009996521208055e+00,2.407591724930536525e+00,1.435019126161133585e+00,4.006620017967255087e+00,6.493061525703245351e+00,7.819511731246060471e+00,6.910058294005717805e+00,1.188733803521964916e+01
2.122833443563914013e+00,1.807393255416254840e+00,1.417002219534915453e+00,3.954835194541938215e+00,6.410652437366536560e+00,7.720400068250186543e+00,7.263377074791426580e+00,1.173706134047563943e+01
2.149911559516157311e+00,1.216147641594227613e+00,1.434949436105247722e+00,4.004891603904991548e+00,6.492727296874009291e+00,7.819462330768388370e+00,7.832821261468102314e+00,1.188697421407968235e+01
2.230786172449719107e+00,6.440108384341416414e-01,1.488548331916876855e+00,4.155949811351395518e+00,6.737887688330306268e+00,8.115007300633457987e+00,8.608872393792092126e+00,1.233455892755342909e+01
2.364116266211559125e+00,1.008091151426938475e-01,1.576889027031474821e+00,4.405513740466935779e+00,7.142051308792596309e+00,8.602072109216235773e+00,9.578607670817980591e+00,1.307245962794766214e+01
2.547681344353683208e+00,4.041204652007353015e-01,1.698468168728425987e+00,4.749435300567182772e+00,7.698462719134830046e+00,9.272437808224704980e+00,1.072581878379859077e+01,1.408849546890325044e+01
2.778429331745751796e+00,8.621015478487047412e-01,1.851223129775028786e+00,5.182003556880244943e+00,8.397840302066589047e+00,1.011481229156022543e+01,1.203132810526858876e+01,1.536591690803313703e+01
3.052510624203745859e+00,1.265260872612225418e+00,2.032557531219659541e+00,5.696008951702204115e+00,9.228482770422337111e+00,1.111496677711739878e+01,1.347323076183550938e+01,1.688358226500000470e+01
3.364997646460922809e+00,1.606666637694167399e+00,2.239363645154943239e+00,6.282107776633393037e+00,1.017543074620465049e+01,1.225532768417665963e+01,1.502546239691950092e+01,1.861386672169124878e+01
3.711269471735987313e+00,1.880461575442939237e+00,2.468170573279124813e+00,6.931839042953832575e+00,1.122463921986454771e+01,1.351778792611438362e+01,1.666503364729344483e+01,2.053230067006497350e+01
4.085219292331037977e+00,2.081944070471099639e+00,2.715059726772310444e+00,7.633666437824902395e+00,1.235758674448666738e+01,1.488039465659898219e+01,1.836273533933179536e+01,2.260479148274269789e+01
4.480534829814235565e+00,2.207657978492061801e+00,2.975818390564791471e+00,8.375761702616632220e+00,1.355513683695445160e+01,1.632000124605835012e+01,2.008972155753542665e+01,2.479650967736959544e+01
4.890513352714910944e+00,2.255448452575106177e+00,3.245987703615989872e+00,9.145566314737932245e+00,1.479698503779786023e+01,1.781209349721875057e+01,2.181652145441713131e+01,2.707041646626136355e+01
5.308179613396228014e+00,2.224504068636286913e+00,3.520943725364569232e+00,9.930011360166826506e+00,1.606201683948889425e+01,1.933122988880729309e+01,2.351357356925194608e+01,2.938790683380219448e+01
5.726394686514415966e+00,2.115365718786838656e+00,3.795971818270100329e+00,1.071571925487960186e+01,1.732863640100747560e+01,2.085144340251482475e+01,2.515169651746188606e+01,3.170940569977844348e+01
6.137979681114424935e+00,1.929918435728919412e+00,4.066349917378677681e+00,1.148923229678744740e+01,1.857513853966831618e+01,2.234669159234929481e+01,2.670260628496904332e+01,3.399505059441147381e+01
6.535842542906002528e+00,1.671360449260516745e+00,4.327432707280819635e+00,1.223724655014322771e+01,1.978008857730046444e+01,2.379131210511298988e+01,2.813942659491959475e+01,3.620539612265661589e+01
6.913095874823173226e+00,1.344142884853996467e+00,4.574728593339182581e+00,1.294682884430915948e+01,2.092267394522746216e+01,2.516044025993703315e+01,2.943713693258116493e+01,3.830207300804104165e+01
7.263189098925256104e+00,9.538982421583621640e-01,4.803984703497907738e+00,1.360566160060725949e+01,2.198309880077565026e+01,2.643047452207401093e+01,3.057306859342200411e+01,4.024853124528152648e+01
7.580030619862621499e+00,5.073445008224664043e-01,5.011263896100360604e+00,1.420227021450821603e+01,2.294294860488595234e+01,2.757950264445952726e+01,3.152733797796879500e+01,4.201073132018212419e+01
7.858081179441335884e+00,1.217456854814872452e-02,5.193001673881449065e+00,1.472619832874614509e+01,2.378546839009738889e+01,2.858762222289203692e+01,3.228313298294457212e+01,4.355767816054451913e+01
